"Region: PAC"
"Geographic Zones: S Point Fermin - N Dana Point"
"Survey Types: Fish Only, Invertebrates Only, Fish &amp; Invertebrates"
"Dates: 1/1/93 - 1/4/21"
"Total Surveys: 398"
"#Species Reported: 152"
"Average Species Reported on a Survey by Expert Surveyors: 22.22"
"Average Species Reported on a Survey by Novice Surveyors: 16.50"
"Survey Type: FO = Fish Only; IO = Invertebrates Only; FI = Fish &amp; Invertebrates - <a href="/interpreting-reef-data" target="_blank">How to interpret REEF data?</a>"
"Expand all"
"Collapse all"
"Click a column header to sort by that column. Hold shift and click to sort by multiple columns"
,,Surveys,,,,,,"Bottom Time"
,,Expert,,,Novice,,,
Code,Name,FO,IO,FI,FO,IO,FI,(H:M)
4,CALIFORNIA,1,0,88,79,6,224,314:40
42,"SOUTHERN CALIFORNIA",1,0,88,79,6,224,314:40
4205,"S Point Fermin - N Dana Point",1,0,88,79,6,224,314:40
420501,"Long Beach",0,0,7,3,1,8,12:06
42050101,"Long Beach Navy Base Mole",0,0,0,1,0,0,0:35
42050102,"Olympic Wreck",0,0,5,2,1,7,7:56
42050103,"Cabrillo Beach",0,0,2,0,0,1,3:35
420502,"Huntington Beach",0,0,24,3,2,21,30:45
42050201,"Eureka Oil Platform",0,0,12,2,2,10,16:24
42050202,"Ellen / Elly Oil Platform",0,0,12,1,0,11,14:21
420503,"Newport Beach",0,0,0,1,0,2,7:58
42050301,"Newport Harbor",0,0,0,1,0,2,7:58
420504,"Laguna Beach",1,0,57,72,3,193,263:51
42050400,"Laguna Beach General Area - no site specified",0,0,1,6,0,9,10:18
42050401,"Fisherman's Cove",0,0,6,4,0,7,16:33
42050402,"Crescent Bay",0,0,2,4,0,13,16:00
42050403,"Diver's Cove",0,0,8,4,2,34,39:23
42050404,"Shaws Cove",0,0,28,13,1,105,125:56
42050405,"Cress Street",0,0,0,1,0,3,4:43
42050406,"Crystal Cove State Park - Reef Point",0,0,0,3,0,2,4:43
42050407,"Woods Cove",0,0,1,2,0,7,8:22
42050408,"Montage / Treasure Island / Goff Island",0,0,7,0,0,1,5:44
42050409,"Crystal Cove State Park - Historic District",0,0,1,30,0,0,15:15
42050411,"Heisler Park",1,0,0,3,0,6,7:37
42050413,"Salt Creek",0,0,3,0,0,0,2:50
42050414,"Picnic Point Reef",0,0,0,0,0,1,0:40
42050415,"Mussel Cove",0,0,0,1,0,1,1:06
42050416,"Corona del Mar",0,0,0,1,0,4,4:41
TOTALS,,1,0,88,79,6,224,314:40
"Species"
"%SF = Sighting Frequency; DEN = Density Score - <a href="/interpreting-reef-data" target="_blank">How to interpret REEF data?</a>"
"Click a column header to sort by that column. Hold shift and click to sort by multiple columns"
,,,,Total,,Expert,,Novice,
Rank,"Species ID",Species,Family,SF%,DEN,SF%,DEN,SF%,DEN
1,0006,"Garibaldi, (Hypsypops rubicundus)","Damselfish, (Pomacentridae)",90.56,2.7,84.27,2.55,92.41,2.75
2,0005,"Blacksmith, (Chromis punctipinnis)","Damselfish, (Pomacentridae)",79.59,3.12,89.89,3.2,76.57,3.09
3,0127,"California Sheephead, (Semicossyphus pulcher)","Wrasse, (Labridae)",78.57,2.39,82.02,2.36,77.56,2.4
4,0003,"Kelp Bass, (Paralabrax clathratus)","Sea Bass, (Serranidae)",78.32,2.51,82.02,2.44,77.23,2.53
5,0416,"Purple Urchin, (Strongylocentrotus purpuratus)","Echinoderms, (Echinodermata)",61.32,3.09,60.23,2.85,61.74,3.18
6,0001,"Barred Sand Bass, (Paralabrax nebulifer)","Sea Bass, (Serranidae)",60.71,2.26,57.3,2.2,61.72,2.28
7,0128,"Senorita, (Oxyjulis californica)","Wrasse, (Labridae)",57.91,2.87,51.69,2.91,59.74,2.86
8,0187,"Rock Scallop, (Crassadoma gigantea)","Mollusks, (Mollusca)",57.55,2.68,76.14,2.84,50.43,2.59
9,0408,"California Golden Gorgonian, (Muricea californica)","Cnidarians, (Cnidaria)",53.77,2.56,61.36,2.35,50.87,2.65
10,0443,"Giant Kelp, (Macrocystis integrifolia / pyrifera)","Algae, (Algae)",50,3.06,59.09,3.31,46.52,2.93
11,0129,"Rock Wrasse, (Halichoeres semicinctus)","Wrasse, (Labridae)",49.74,2.53,41.57,2.46,52.15,2.55
12,0403,"Spiny Lobster, (Panulirus interruptus)","Arthropods, (Arthropoda)",45.28,2.21,40.91,2.5,46.96,2.11
13,0176,"Red Sea Urchin, (Mesocentrotus franciscanus)","Echinoderms, (Echinodermata)",44.03,2.91,39.77,2.74,45.65,2.96
14,0032,"Painted Greenling, (Oxylebius pictus)","Greenling, (Hexagrammidae)",43.88,1.92,61.8,1.89,38.61,1.94
15,0426,"Kellet's Whelk, (Kelletia kelletii)","Mollusks, (Mollusca)",43.4,2.22,43.18,2.24,43.48,2.22
16,0407,"Brown Gorgonian, (Muricea fruticosa)","Cnidarians, (Cnidaria)",39.62,2.37,32.95,2.31,42.17,2.38
17,0425,"Giant Keyhole Limpet, (Megathura crenulata)","Mollusks, (Mollusca)",39.62,2.01,30.68,2.19,43.04,1.96
18,0428,"Wavy Turban Snail, (Lithopoma undosum)","Mollusks, (Mollusca)",39.62,2.51,42.05,2.46,38.7,2.53
19,0107,"Blackeye Goby, (Rhinogobiops nicholsii)","Goby, (Gobiidae)",38.52,2.07,34.83,1.97,39.6,2.09
20,0411,"Warty Sea Cucumber, (Parastichopus parvimensis)","Echinoderms, (Echinodermata)",38.36,2.04,47.73,2,34.78,2.06
21,0446,"Southern Sea Palm, (Eisenia arborea)","Algae, (Algae)",36.79,2.78,35.23,2.77,37.39,2.78
22,0413,"Giant Spined Star, (Pisaster giganteus)","Echinoderms, (Echinodermata)",36.16,1.83,37.5,1.64,35.65,1.9
23,0036,"Opaleye, (Girella nigricans)","Sea Chub, (Kyphosidae)",32.91,2.09,42.7,2.18,30.03,2.04
24,0114,"Black Perch, (Embiotoca jacksoni)","Surfperch, (Embiotocidae)",32.4,2.04,40.45,1.92,30.03,2.09
25,0424,"Chestnut Cowry, (Cypraea spadicea)","Mollusks, (Mollusca)",29.56,1.8,28.41,1.72,30,1.83
26,0035,"Halfmoon, (Medialuna californiensis)","Sea Chub, (Kyphosidae)",29.08,2.11,43.82,2.21,24.75,2.07
27,0439,"Colonial Sand-tube Worm, (Phragmatopoma californica)","Annelids, (Annelida)",28.93,0.37,30.68,0.63,28.26,0.26
28,0414,"Spiny Brittlestar, (Ophiothrix spiculata)","Echinoderms, (Echinodermata)",27.04,2.93,40.91,3.31,21.74,2.66
29,0412,"Bat Star, (Asterina miniata)","Echinoderms, (Echinodermata)",26.73,1.96,34.09,1.97,23.91,1.96
30,0415,"Crowned Urchin, (Centrostphanus coronatus)","Echinoderms, (Echinodermata)",25.47,2.53,29.55,2.35,23.91,2.62
31,0418,"Red Sea Hare, (Aplysia californica)","Mollusks, (Mollusca)",25.16,1.86,14.77,1.62,29.13,1.91
32,0161,"Strawberry Anemone, (Corynactis californica)","Cnidarians, (Cnidaria)",24.84,0.78,39.77,0.94,19.13,0.66
